ID,creator,age,flexibility (manually),flexibility (categories)
1001,child,5.0,1.0,1.0
1002,child,5.0,1.0,1.0
1003,child,5.0,1.0,2.0
1004,child,4.0,1.0,2.0
1005,child,4.0,1.0,2.0
1006,child,5.0,1.0,1.0
1007,child,5.0,2.0,2.0
1008,child,7.0,2.0,2.0
1009,child,6.0,1.0,2.0
1010,child,4.0,2.0,2.0
1011,child,5.0,0.0,1.0
1012,child,6.0,1.0,1.0
1013,child,5.0,0.0,0.0
1014,child,5.0,1.0,1.0
1015,child,6.0,0.0,1.0
1016,child,5.0,1.0,2.0
1017,child,5.0,2.0,2.0
1018,child,6.0,0.0,1.0
1019,child,6.0,1.0,1.0
1020,child,6.0,1.0,1.0
1022,child,5.0,1.0,1.0
1023,child,6.0,1.0,2.0
1024,child,5.0,0.0,1.0
1025,child,6.0,2.0,2.0
1026,child,6.0,0.0,0.0
1027,child,6.0,2.0,2.0
1028,child,6.0,2.0,2.0
1029,child,5.0,0.0,0.0
2001,child,4.0,0.0,0.0
2002,child,4.0,0.0,0.0
2003,child,5.0,0.0,0.0
2004,child,4.0,0.0,0.0
2009,child,5.0,0.0,0.0
2010,child,5.0,2.0,2.0
2011,child,6.0,1.0,1.0
2012,child,5.0,0.0,1.0
2013,child,5.0,0.0,0.0
2014,child,6.0,1.0,2.0
2015,child,4.0,0.0,0.0
2016,child,4.0,0.0,0.0
2017,child,4.0,0.0,2.0
2018,child,5.0,0.0,0.0
3001,child,4.0,0.0,0.0
3002,child,6.0,1.0,1.0
3005,child,6.0,2.0,2.0
3007,child,4.0,1.0,1.0
3008,child,6.0,2.0,2.0
3009,child,6.0,2.0,2.0
3010,child,4.0,1.0,1.0
3011,child,5.0,2.0,2.0
3013,child,5.0,0.0,0.0
3016,child,4.0,0.0,0.0
3017,child,4.0,0.0,0.0
3018,child,5.0,2.0,2.0
3020,child,7.0,0.0,0.0
3022,child,4.0,0.0,0.0
3023,child,4.0,0.0,0.0
3024,child,4.0,0.0,1.0
3025,child,4.0,0.0,0.0
3026,child,5.0,0.0,1.0
3028,child,4.0,0.0,0.0
4001,child,6.0,1.0,1.0
4002,child,6.0,0.0,0.0
4003,child,6.0,0.0,0.0
4004,child,5.0,2.0,2.0
4005,child,7.0,0.0,1.0
4006,child,6.0,0.0,0.0
4007,child,9.0,2.0,2.0
4008,child,7.0,2.0,2.0
4009,child,5.0,0.0,0.0
4010,child,4.0,1.0,1.0
4011,child,4.0,0.0,0.0
4012,child,6.0,0.0,1.0
4013,child,7.0,1.0,2.0
4014,child,8.0,2.0,2.0
4015,child,8.0,1.0,1.0
4016,child,9.0,2.0,2.0
4017,child,7.0,2.0,2.0
4018,child,5.0,1.0,1.0
4019,child,5.0,2.0,2.0
4020,child,6.0,1.0,2.0
4021,child,5.0,1.0,1.0
4022,child,8.0,1.0,1.0
4023,child,9.0,0.0,0.0
4024,child,9.0,2.0,2.0
4025,child,6.0,2.0,2.0
4026,child,7.0,2.0,1.0
5001,child,9.0,1.0,1.0
5002,child,6.0,1.0,1.0
5003,child,8.0,2.0,2.0
5004,child,8.0,1.0,1.0
5009,child,7.0,0.0,1.0
5010,child,7.0,0.0,0.0
5011,child,8.0,1.0,1.0
5012,child,6.0,0.0,0.0
5018,child,9.0,1.0,1.0
5019,child,6.0,1.0,1.0
5020,child,9.0,1.0,1.0
5021,child,6.0,1.0,1.0
5027,child,7.0,2.0,2.0
5028,child,8.0,1.0,1.0
